timestamp(ms),GPS.Lat,GPS.Lng,x,y,Accel X,Accel Y,Accel Z,Accel Magnitude
29930.761,301399350,-976296366,563,-1725,0.120586909,-0.184250042,-9.923324585,9.925767482
30030.761,301399350,-976296366,563,-1725,0.112410568,-0.419440389,-9.990988731,10.0004211
30130.761,301399536,-976296337,749,-1696,0.102149993,-0.156131223,-9.917713165,9.919468031
30230.761,301399536,-976296337,749,-1696,0.083160043,-0.392709762,-9.874662399,9.882818123
30330.761,301399563,-976296223,776,-1582,0.094573669,-0.358042926,-9.936553955,9.943452289
30430.761,301399563,-976296223,776,-1582,0.097941995,-0.22271727,-9.967504501,9.970473489
30530.761,301399563,-976296223,776,-1582,0.143387794,-0.245770678,-9.998606682,10.00265459
30630.761,301399471,-976296129,684,-1488,0.075458489,-0.206537127,-9.936071396,9.938504231
30730.761,301399471,-976296129,684,-1488,0.133215249,-0.318752646,-9.940963745,9.94696485
30830.761,301399307,-976296028,520,-1387,0.103163004,-0.267671674,-9.964938164,9.969066322
30930.761,301399307,-976296028,520,-1387,0.104056455,-0.219925821,-9.952717781,9.955691153
31030.761,301399207,-976295943,420,-1302,0.127497062,-0.186293945,-9.974937439,9.977491561
31130.761,301399207,-976295943,420,-1302,0.111494094,-0.030487899,-10.11211395,10.11277455
31230.761,301398392,-976295328,-395,-687,0.075850517,-0.203435078,-9.947669029,9.950038103
31330.761,301398392,-976295328,-395,-687,0.125418097,-0.201429337,-9.976518631,9.979340032
31430.761,301398218,-976295255,-569,-614,0.139960349,-0.143144444,-9.93657589,9.938592438
31530.761,301398218,-976295255,-569,-614,0.05562292,-0.145527974,-10.0007391,10.00195255
31630.761,301398120,-976295199,-667,-558,0.098822303,-0.067726038,-9.935141563,9.935863855
31730.761,301398059,-976295122,-728,-481,0.125769973,-0.146875829,-9.999880791,10.00175017
31830.761,301398059,-976295122,-728,-481,0.16186507,-0.11910893,-9.832669258,9.834722771
31930.761,301398155,-976295121,-632,-480,0.093999185,-0.14183487,-9.930391312,9.931849001
32030.761,301398155,-976295121,-632,-480,0.122262098,-0.113182299,-10.00000763,10.00139544
32130.761,301398155,-976295062,-632,-421,0.109535746,-0.081754304,-9.966290474,9.967227682
32230.761,301398155,-976295062,-632,-421,0.102069899,-0.075848557,-9.948978424,9.949791101
32330.761,301398189,-976294990,-598,-349,0.121852599,-0.091363542,-9.969807625,9.970970837
32430.761,301398189,-976294990,-598,-349,0.101671547,-0.047204349,-9.951123238,9.951754571
32530.761,301398189,-976294936,-598,-295,0.101183087,-0.030825593,-9.922031403,9.922595194
32630.761,301398189,-976294936,-598,-295,0.092531405,-0.126867056,-9.95221138,9.953450088
32730.761,301398201,-976294912,-586,-271,0.117958933,-0.096985906,-9.915014267,9.916190221
32830.761,301398201,-976294912,-586,-271,0.12249615,-0.135170385,-9.966682434,9.968351673
32930.761,301398211,-976294953,-576,-312,0.121477962,-0.058378939,-9.980800629,9.981710584
33030.761,301398211,-976294953,-576,-312,0.102461912,-0.072648033,-9.909123421,9.909919432
33130.761,301398253,-976294996,-534,-355,0.079299651,-0.210569352,-9.924444199,9.926994537
33230.761,301398253,-976294996,-534,-355,0.112336509,-0.087360606,-9.873156548,9.874182071
33330.761,301398253,-976294996,-534,-355,0.094788194,-0.092708126,-9.965776443,9.966658403
33430.761,301398264,-976294978,-523,-337,0.11287199,-0.111393385,-9.88307476,9.884346984
33530.761,301398307,-976295000,-480,-359,0.080620453,-0.081330627,-9.895386696,9.896049322
33630.761,301398307,-976295000,-480,-359,0.075725026,-0.1465801,-9.872487068,9.873865551
33730.761,301398331,-976295003,-456,-362,0.143235654,-0.210053578,-9.910195351,9.91345605
33830.761,301398331,-976295003,-456,-362,0.074225038,-0.102846049,-9.936794281,9.937603698
33930.761,301398351,-976295021,-436,-380,0.074106239,-0.196567088,-9.940439224,9.942658715
34030.761,301398351,-976295021,-436,-380,0.151240736,-0.220225886,-9.940123558,9.943713067
34130.761,301398356,-976295051,-431,-410,0.076456167,-0.089077726,-9.957371712,9.958063657
34230.761,301398356,-976295051,-431,-410,0.132785469,-0.323393345,-9.991903305,9.998017148
34330.761,301398343,-976295067,-444,-426,0.117168859,-0.040503372,-10.01405048,10.01481783
34430.761,301398343,-976295067,-444,-426,0.145475924,-0.20886752,-10.00064468,10.00388339
34530.761,301398327,-976295091,-460,-450,0.088391267,-0.039001867,-9.935925484,9.93639519
34630.761,301398327,-976295091,-460,-450,0.096308775,-0.245408893,-9.928478241,9.931977703
34730.761,301398317,-976295091,-470,-450,0.136505395,-0.018034613,-9.94182682,9.94278027
34830.761,301398317,-976295091,-470,-450,0.105191976,-0.210757226,-9.954455376,9.957241876
34930.761,301398301,-976295077,-486,-436,0.137812853,0.078711607,-9.938484192,9.939751301
35030.761,301398301,-976295077,-486,-436,0.126916066,-0.204117835,-9.903882027,9.90679822
35130.761,301398300,-976295051,-487,-410,0.097068623,-0.056067545,-9.982517242,9.983146617
35230.761,301398300,-976295051,-487,-410,0.139048293,-0.087078825,-9.970461845,9.971811599
35330.761,301398297,-976295024,-490,-383,0.143980965,-0.05536687,-9.913375854,9.914575979
35430.761,301398297,-976295024,-490,-383,0.112120755,-0.104040973,-9.946526527,9.947702526
35530.761,301398291,-976295015,-496,-374,0.123342589,-0.155324206,-10.00810432,10.01006949
35630.761,301398291,-976295015,-496,-374,0.115075201,-0.095899783,-9.930003166,9.931132964
35730.761,301398286,-976295002,-501,-361,0.105642304,-0.17921488,-9.935129166,9.93730697
35830.761,301398286,-976295002,-501,-361,0.145092696,-0.192039564,-10.03025723,10.03314463
35930.761,301398285,-976294987,-502,-346,0.112643071,-0.126170486,-9.993368149,9.994799368
36030.761,301398285,-976294987,-502,-346,0.076048188,-0.1008856,-9.921349525,9.922153881
36130.761,301398290,-976294983,-497,-342,0.099248968,-0.148121312,-9.917248726,9.918851374
36230.761,301398290,-976294983,-497,-342,0.141692013,-0.105062775,-9.920864105,9.922432132
36330.761,301398295,-976294982,-492,-341,0.114910223,-0.154754162,-9.900834084,9.902710172
36430.761,301398295,-976294982,-492,-341,0.099636815,-0.163094997,-9.883022308,9.884870127
36530.761,301398302,-976294974,-485,-333,0.060818318,-0.077982366,-9.872534752,9.873030059
36630.761,301398302,-976294974,-485,-333,0.092618249,-0.123870224,-9.927517891,9.928722649
36730.761,301398307,-976294979,-480,-338,-0.097089492,-0.013105285,-10.13444805,10.13492158
36830.761,301398307,-976294979,-480,-338,0.078528598,-0.206643403,-9.91348362,9.915948049
36930.761,301398312,-976294996,-475,-355,0.052327428,-0.189248249,-10.05408669,10.05600379
37030.761,301398312,-976294996,-475,-355,0.04441585,-0.153892055,-9.955600739,9.956889153
37130.761,301398317,-976295003,-470,-362,0.175885066,-0.306764752,-9.867984772,9.874318388
37230.761,301398317,-976295003,-470,-362,0.120435432,-0.02639362,-9.819710732,9.820484722
37330.761,301398312,-976295002,-475,-361,0.103251353,-0.186444312,-10.034832,10.03709498
37430.761,301398312,-976295002,-475,-361,0.110247329,-0.148603767,-9.952503204,9.954223103
37530.761,301398308,-976295000,-479,-359,0.075548574,-0.185123786,-9.858551025,9.860578417
37630.761,301398308,-976295000,-479,-359,0.064192139,-0.637593031,-10.03426266,10.054704
37730.761,301398305,-976295015,-482,-374,0.104898006,-0.43870008,-10.01241779,10.02257309
37830.761,301398305,-976295015,-482,-374,-0.01763604,-0.524952233,-9.995548248,10.00933917
37930.761,301398294,-976295035,-493,-394,0.130551696,-0.371750832,-9.97407341,9.981852674
38030.761,301398294,-976295035,-493,-394,0.078121588,-0.484976292,-9.88736248,9.899557657
38130.761,301398295,-976295051,-492,-410,-0.230840877,0.143496916,-9.495140076,9.499029631
38230.761,301398295,-976295051,-492,-410,0.283759862,-0.620833039,-9.608979225,9.633194438
38330.761,301398298,-976295063,-489,-422,0.070972681,-0.282214433,-9.971783638,9.976028821
38430.761,301398298,-976295063,-489,-422,0.062798381,-0.223388687,-9.910470963,9.913187219
38530.761,301398303,-976295067,-484,-426,0.042768113,-0.690989554,-9.538129807,9.563222045
38630.761,301398303,-976295067,-484,-426,0.031846754,-0.449917614,-9.955949783,9.966161556
38730.761,301398302,-976295080,-485,-439,0.072141014,-0.409902692,-9.963603973,9.97229305
38830.761,301398302,-976295080,-485,-439,0.061751172,-0.47334072,-9.926411629,9.937882695
